Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Weighted_RFM_Score,Cluster_ID,Cluster_Segment
Bartholemy Flaherty,248,1,21.87,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Baudoin Alldridge,1214,1,44.75,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Baxy Cargen,446,1,32.22,3,1,3,7,🔄 Potential Loyalists,2.5,3,Cluster 3
Bayard Wellan,995,1,15.54,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Bear Gaish,266,1,119.13999999999999,4,1,4,9,⭐ Loyal Customers,3.25,2,Cluster 2
Bearnard Wardell,1302,1,53.46,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Becky Semkins,839,1,14.924999999999999,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Bee Fattorini,1,1,29.784999999999997,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Beitris Keaveney,504,1,33.75,3,1,3,7,🔄 Potential Loyalists,2.5,3,Cluster 3
Beltran Mathon,417,1,17.924999999999997,3,1,2,6,😐 Need Attention,2.05,3,Cluster 3
Belvia Umpleby,127,1,7.169999999999999,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Benedetto Gozzett,498,1,9.51,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Benedikta Paumier,904,1,31.624999999999996,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Benn Checci,997,1,21.825000000000003,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Berkly Imrie,888,1,17.46,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Bertine Byrd,1266,1,133.85999999999999,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Berty Beelby,664,1,29.784999999999997,2,1,2,5,😴 At Risk,1.75,3,Cluster 3
Beryle Kenwell,515,1,20.625,3,1,2,6,😐 Need Attention,2.05,3,Cluster 3
Bette-ann Munden,409,1,13.365,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Bettina Leffek,283,1,68.655,4,1,4,9,⭐ Loyal Customers,3.25,2,Cluster 2
Betty Fominov,1151,1,26.849999999999994,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Birgit Domange,305,1,26.849999999999994,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Blake Kelloway,501,1,7.77,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Blancha McAmish,561,1,38.849999999999994,3,1,3,7,🔄 Potential Loyalists,2.5,3,Cluster 3
Bo Kindley,261,1,145.82,4,1,4,9,⭐ Loyal Customers,3.25,2,Cluster 2
Bob Giannazzi,1029,1,15.54,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Bobby Folomkin,996,1,178.70999999999998,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Bobinette Hindsberg,597,1,14.58,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Borg Daile,669,1,49.75,2,1,3,6,😴 At Risk,2.2,2,Cluster 2
Boyce Tarte,768,1,41.169999999999995,2,1,3,6,😴 At Risk,2.2,2,Cluster 2
Boyd Bett,823,1,15.54,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Bram Revel,43,1,11.94,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Bran Sterke,1145,1,27.5,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Brendan Grece,1124,1,28.53,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Brice Romera,679,1,246.20999999999998,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Broderick McGilvra,651,1,148.92499999999998,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Brook Drage,137,1,38.04,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Bunny Naulls,1072,1,100.39499999999998,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Burnard Bartholin,980,1,43.650000000000006,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Byram Mergue,1038,1,13.5,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Byron Acarson,111,1,63.24999999999999,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Caddric Atcheson,785,1,4.755,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Caddric Krzysztofiak,891,1,10.739999999999998,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Cam Jewster,904,2,46.965,2,4,3,9,🔄 Potential Loyalists,2.95,0,Cluster 1
Camellia Kid,990,1,10.754999999999999,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Carlie Harce,920,1,89.35499999999999,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Carlie Linskill,346,1,56.25,3,1,3,7,🔄 Potential Loyalists,2.5,2,Cluster 2
Carmelita Thowes,1122,1,47.55,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Carney Clemencet,603,1,44.55,3,1,3,7,🔄 Potential Loyalists,2.5,2,Cluster 2
Carolann Beine,750,1,13.5,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Carolee Winchcombe,1306,1,95.1,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Casi Gwinnett,329,1,7.77,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Cassie Pinkerton,518,1,29.849999999999998,3,1,2,6,😐 Need Attention,2.05,3,Cluster 3
Cecil Weatherall,1187,1,13.095,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Cecily Stebbings,1286,1,5.369999999999999,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Celestia Dolohunty,324,1,114.42499999999998,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Celia Bakeup,1258,1,47.55,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Celie MacCourt,342,1,89.35499999999999,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Chad Miguel,202,1,79.25,4,1,4,9,⭐ Loyal Customers,3.25,2,Cluster 2
Chance Rowthorn,265,1,8.25,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Chantal Mersh,442,1,39.8,3,1,3,7,🔄 Potential Loyalists,2.5,3,Cluster 3
Charin Penwarden,587,1,43.650000000000006,3,1,3,7,🔄 Potential Loyalists,2.5,2,Cluster 2
Charis Crosier,16,1,25.68,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Charlean Keave,300,2,110.61000000000001,4,4,4,12,🏆 Champions,4.0,0,Cluster 1
Charmane Denys,778,1,95.1,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Chiarra Shalders,1144,1,12.95,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Chickie Ragless,1231,1,35.64,1,1,3,5,😴 At Risk,1.9,1,Cluster 4
Chloette Bernardot,396,1,21.87,3,1,2,6,😐 Need Attention,2.05,3,Cluster 3
Chloris Sorrell,220,1,28.62,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Chris Croster,481,1,43.650000000000006,3,1,3,7,🔄 Potential Loyalists,2.5,3,Cluster 3
Chrisy Blofeld,339,1,11.25,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Chuck Kendrick,1079,1,89.1,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Cissiee Raisbeck,270,1,8.73,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Claiborne Feye,611,1,29.16,3,1,2,6,😐 Need Attention,2.05,3,Cluster 3
Claiborne Mottram,267,1,19.02,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Claudell Ayre,838,1,33.464999999999996,2,1,3,6,😴 At Risk,2.2,1,Cluster 4
Claudetta Rushe,842,2,193.63499999999996,2,4,4,10,🏆 Champions,3.4,0,Cluster 1
Claudie Weond,1272,1,22.5,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Clayton Kingwell,255,1,8.955,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Clement Vasiliev,908,1,28.53,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Cleopatra Goodrum,928,1,22.275,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Cletis Giacomazzo,160,1,47.8,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Cleve Blowfelde,354,1,21.509999999999998,3,1,2,6,😐 Need Attention,2.05,3,Cluster 3
Cobby Cromwell,280,1,139.725,4,1,4,9,⭐ Loyal Customers,3.25,2,Cluster 2
Cody Verissimo,288,4,183.66,4,4,4,12,🏆 Champions,4.0,0,Cluster 1
Colene Elgey,1199,1,7.29,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Conchita Bryde,620,1,31.624999999999996,3,1,3,7,🔄 Potential Loyalists,2.5,3,Cluster 3
Connor Heaviside,433,1,68.75,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Conny Gheraldi,783,1,23.775,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Constance Halfhide,134,1,29.16,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Constanta Hatfull,1003,1,7.169999999999999,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Cordi Switsur,322,1,76.76,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Cordy Odgaard,787,1,77.69999999999999,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Corine Drewett,804,1,22.884999999999998,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Corinna Catcheside,1292,1,24.3,1,1,2,4,💀 Lost Customers,1.45,1,Cluster 4
Cornie Venour,1012,1,67.5,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Correy Bourner,1012,1,16.875,1,1,1,3,💀 Lost Customers,1.0,1,Cluster 4
Correy Cottingham,541,1,114.42499999999998,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Corrie Wass,1239,1,67.5,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Cortney Gibbonson,88,1,46.62,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Cos Fluin,64,1,33.75,4,1,3,8,⭐ Loyal Customers,2.8,3,Cluster 3
Courtney Pallant,782,1,102.46499999999997,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Cristina Aleixo,750,1,23.31,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Dael Camilletti,872,1,14.58,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Dagny Kornel,622,1,8.955,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Dalia Eburah,881,1,137.31,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Dallas Yarham,667,1,29.784999999999997,2,1,2,5,😴 At Risk,1.75,3,Cluster 3
Daniel Heinonen,1122,1,204.92999999999995,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Darice Heaford,445,1,38.849999999999994,3,1,3,7,🔄 Potential Loyalists,2.5,3,Cluster 3
Darn Penquet,838,1,126.49999999999999,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Darrin Tingly,381,1,111.78,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
Daryn Dibley,26,1,8.73,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Davida Caro,493,1,182.27499999999998,3,1,4,8,⭐ Loyal Customers,2.95,2,Cluster 2
De Drewitt,406,1,8.25,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Deana Staite,710,1,17.46,2,1,2,5,😴 At Risk,1.75,1,Cluster 4
Delainey Kiddy,852,1,5.369999999999999,2,1,1,4,😐 Need Attention,1.3,1,Cluster 4
Dell Daveridge,50,1,14.339999999999998,4,1,1,6,🆕 New Customers,1.9,3,Cluster 3
Dell Gut,964,1,74.25,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Denny O' Ronan,687,1,68.655,2,1,4,7,🔄 Potential Loyalists,2.65,2,Cluster 2
Denyse O'Calleran,117,1,27.945,4,1,2,7,🔄 Potential Loyalists,2.35,3,Cluster 3
Deonne Shortall,463,1,8.055,3,1,1,5,😐 Need Attention,1.6,3,Cluster 3
Devan Crownshaw,1161,1,89.35499999999999,1,1,4,6,😴 At Risk,2.35,2,Cluster 2
Devland Gritton,300,1,114.85,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Devon Magowan,912,1,59.4,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Diane-marie Wincer,609,1,25.9,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Dianne Chardin,783,1,63.24999999999999,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Dick Drinkall,979,1,20.584999999999997,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Dionne Skyner,447,1,33.75,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Doll Beauchamp,69,1,145.82,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Dollie Gadsden,100,1,45.769999999999996,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Dolores Duffie,1319,1,111.78,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Domeniga Duke,296,1,49.75,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Don Flintiff,383,3,278.01,3,4,4,11,🏆 Champions,3.7,0,Cluster 1
Donalt Sangwin,865,1,27.0,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Donavon Fowle,1133,1,8.955,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Donica Bonhome,420,1,18.225,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Donnie Hedlestone,808,1,25.874999999999996,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Donny Fries,130,1,59.699999999999996,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Dorelia Bury,801,1,109.93999999999998,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Dorey Sopper,330,1,148.92499999999998,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Dorian Vizor,1196,1,35.82,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Dorie de la Tremoille,847,1,114.42499999999998,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Dorotea Hollyman,816,1,17.91,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Dottie Rallin,261,1,9.95,4,2,1,7,🔄 Potential Loyalists,2.15,3,Cluster 3
Dottie Tift,278,1,21.87,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Drake Jevon,570,1,3.5849999999999995,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Duky Phizackerly,661,1,170.77499999999998,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Dyanna Aizikovitz,305,1,38.849999999999994,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Eal D'Ambrogio,215,1,35.64,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Eddi Sedgebeer,535,1,16.11,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Effie Yurkov,91,1,133.85999999999999,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Elden Andriessen,781,1,51.74999999999999,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Elizabet Aizikowitz,201,1,35.64,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Elka Windress,953,1,21.87,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Elna Grise,509,1,35.849999999999994,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Elsbeth Westerman,456,1,14.339999999999998,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Else Langcaster,1255,1,35.64,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Emalee Rolin,1190,1,22.275,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Emiline Galgey,147,1,20.584999999999997,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Emiline Priddis,1099,1,87.30000000000001,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Emlynne Heining,673,1,109.93999999999998,2,2,4,8,🔄 Potential Loyalists,2.9,2,Cluster 2
Emlynne Laird,395,1,36.45,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Emlynne Palfrey,1085,1,7.77,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Emmaline Rasmus,537,1,7.29,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Ericka Tripp,649,1,26.849999999999994,2,2,2,6,😴 At Risk,2.0,3,Cluster 3
Ermin Beeble,566,1,33.75,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Ethel Ryles,727,1,22.5,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Ethelda Hobbing,497,1,63.24999999999999,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Eustace Stenton,1283,1,55.0,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Eveleen Bletsor,929,1,26.19,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Evelina Dacca,1141,1,12.15,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Evy Wilsone,781,1,33.75,2,2,3,7,🔄 Potential Loyalists,2.45,1,Cluster 4
Faber Eilhart,445,1,35.82,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Fanchette Parlot,962,1,6.75,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Fanchon Haughian,739,1,35.849999999999994,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Fanny Flanagan,831,1,26.19,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Faunie Brigham,113,1,163.71999999999997,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Felice Miell,134,1,51.74999999999999,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Felicia Jecock,661,1,31.7,2,2,3,7,🔄 Potential Loyalists,2.45,3,Cluster 3
Feliks Babber,107,1,74.25,4,2,4,10,🏆 Champions,3.5,3,Cluster 3
Felita Dauney,150,1,17.9,4,2,2,8,⭐ Loyal Customers,2.6,3,Cluster 3
Felita Eshmade,719,1,14.58,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Ferdie Tourry,242,1,66.92999999999999,4,2,4,10,🏆 Champions,3.5,2,Cluster 2
Fernando Sulman,78,1,35.8,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Ferrell Ferber,530,1,39.8,3,2,3,8,⭐ Loyal Customers,2.75,3,Cluster 3
Fielding Keinrat,1029,1,77.62499999999999,1,2,4,7,🔄 Potential Loyalists,2.6,2,Cluster 2
Filip Antcliffe,333,1,7.29,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Fleur Parres,1073,1,31.08,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Flory Crumpe,1273,1,7.77,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
Foster Constance,231,3,141.785,4,4,4,12,🏆 Champions,4.0,0,Cluster 1
Franny Kienlein,750,1,52.38,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Frans Habbergham,307,1,11.94,4,2,1,7,🔄 Potential Loyalists,2.15,3,Cluster 3
Fransisco Malecky,688,1,6.75,2,2,1,5,😴 At Risk,1.55,1,Cluster 4
Freda Hollows,563,1,103.49999999999999,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Friederike Drysdale,621,1,45.769999999999996,3,2,3,8,⭐ Loyal Customers,2.75,2,Cluster 2
Gabie Tweed,1117,1,27.674999999999997,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Gabriel Starcks,1281,1,59.56999999999999,1,2,3,6,😴 At Risk,2.15,1,Cluster 4
Gaile Goggin,623,1,20.25,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Gale Croysdale,1291,1,26.849999999999998,1,2,2,5,😴 At Risk,1.7,1,Cluster 4
Gale Heindrick,298,1,59.75,4,2,3,9,⭐ Loyal Customers,3.05,2,Cluster 2
Gallard Gatheral,399,1,23.775,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Gardy Dimitriou,519,1,26.73,3,2,2,7,🔄 Potential Loyalists,2.3,3,Cluster 3
Gaspar McGavin,973,1,47.8,2,2,3,7,🔄 Potential Loyalists,2.45,2,Cluster 2
Gay Eilhersen,323,1,63.24999999999999,3,2,4,9,⭐ Loyal Customers,3.2,2,Cluster 2
Gay Rizzello,998,1,59.699999999999996,1,2,3,6,😴 At Risk,2.15,2,Cluster 2
Geneva Standley,739,1,19.02,2,2,2,6,😴 At Risk,2.0,1,Cluster 4
Geoffrey Siuda,461,1,14.339999999999998,3,2,1,6,😐 Need Attention,1.85,3,Cluster 3
Georgena Bentjens,251,1,38.849999999999994,4,2,3,9,⭐ Loyal Customers,3.05,3,Cluster 3
Gerardo Schonfeld,1174,1,16.11,1,2,1,4,💀 Lost Customers,1.25,1,Cluster 4
