Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Size,Unit Price,Sales,Coffee Type Name,Roast Type Name,Loyalty Card,City,Postcode,Country_cust,Email_cust,Loyalty Card_cust,Email_Missing_Flag,Phone Number,Phone_Missing_Flag,Coffee Type,Size_prod,Unit Price_prod,Profit,Year,Quarter,Month_Num,Month,Day_Name,Week,Is_Weekend,YearMonth,Total_Profit,Profit_Margin_Pct,Price_Bucket,Size_Label,Season,Revenue_Tier
RYZ-14633-602,2019-02-20,14158-30713-OB,A-D-1,4,Mozelle Calcutt,mcalcuttt@baidu.com,Ireland,1.0,9.95,39.8,Arabica,Dark,Yes,Rathwire,Y25,Ireland,mcalcuttt@baidu.com,Yes,0,+353 (928) 869-1762,0,Ara,1.0,9.95,0.8954999999999999,2019,1,2,February,Wednesday,8,False,2019-02,3.5819999999999994,9.0,Standard ($7-10),Large,Winter,High
SCT-60553-454,2021-07-17,39123-12846-YJ,L-L-0.2,5,Gallard Gatheral,ggatheralx@123-reg.co.uk,United States,0.2,4.755,23.775,Libriac,Large,No,Grand Forks,58207,United States,ggatheralx@123-reg.co.uk,No,0,UNKNOWN,1,Lib,0.2,4.755,0.61815,2021,3,7,July,Saturday,28,True,2021-07,3.09075,13.0,Budget (<$7),Small,Summer,Medium
GFK-52063-244,2020-06-29,44981-99666-XB,L-L-0.5,6,Una Welberry,uwelberryy@ebay.co.uk,United Kingdom,0.5,9.51,57.06,Libriac,Large,Yes,Upton,DN21,United Kingdom,uwelberryy@ebay.co.uk,Yes,0,+44 (392) 503-8132,0,Lib,0.5,9.51,1.2363,2020,2,6,June,Monday,27,False,2020-06,7.4178,13.0,Standard ($7-10),Medium,Summer,High
AMM-79521-378,2021-06-01,24825-51803-CQ,A-D-0.5,6,Faber Eilhart,feilhartz@who.int,United States,0.5,5.97,35.82,Arabica,Dark,No,Charleston,25362,United States,feilhartz@who.int,No,0,+1 (304) 510-6095,0,Ara,0.5,5.97,0.5373,2021,2,6,June,Tuesday,22,False,2021-06,3.2237999999999998,9.0,Budget (<$7),Medium,Summer,High
QUQ-90580-772,2021-02-06,77634-13918-GJ,L-M-0.2,2,Zorina Ponting,zponting10@altervista.org,United States,0.2,4.365,8.73,Libriac,Medium,No,Little Rock,72204,United States,zponting10@altervista.org,No,0,+1 (501) 172-1476,0,Lib,0.2,4.365,0.56745,2021,1,2,February,Saturday,5,True,2021-02,1.1349,13.0,Budget (<$7),Small,Winter,Low
LGD-24408-274,2019-04-25,13694-25001-LX,L-L-0.5,3,Silvio Strase,sstrase11@booking.com,United States,0.5,9.51,28.53,Libriac,Large,No,Denver,80291,United States,sstrase11@booking.com,No,0,+1 (303) 579-8015,0,Lib,0.5,9.51,1.2363,2019,2,4,April,Thursday,17,False,2019-04,3.7089,13.0,Standard ($7-10),Medium,Spring,Medium
HCT-95608-959,2020-04-25,08523-01791-TI,R-M-2.5,5,Dorie de la Tremoille,dde12@unesco.org,United States,2.5,22.884999999999998,114.42499999999998,Robusta,Medium,No,Minneapolis,55458,United States,dde12@unesco.org,No,0,+1 (612) 492-5160,0,Rob,2.5,22.884999999999998,1.3730999999999998,2020,2,4,April,Saturday,17,True,2020-04,6.865499999999999,6.0,Luxury (>$14),XL,Spring,Top
XWC-20610-167,2022-07-07,08350-81623-TF,E-D-0.2,2,Lorenzo Yeoland,lyeoland15@pbs.org,United States,0.2,3.645,7.29,Excelsa,Dark,Yes,Hartford,6183,United States,lyeoland15@pbs.org,Yes,0,+1 (860) 576-2887,0,Exc,0.2,3.645,0.40095000000000003,2022,3,7,July,Thursday,27,False,2022-07,0.8019000000000001,11.0,Budget (<$7),Small,Summer,Low
GPU-79113-136,2019-05-22,73284-01385-SJ,R-D-0.2,3,Abigail Tolworthy,atolworthy16@toplist.cz,United States,0.2,2.6849999999999996,8.055,Robusta,Dark,Yes,Ogden,84409,United States,atolworthy16@toplist.cz,Yes,0,+1 (801) 722-4425,0,Rob,0.2,2.6849999999999996,0.16109999999999997,2019,2,5,May,Wednesday,21,False,2019-05,0.4832999999999999,6.0,Budget (<$7),Small,Spring,Low
HPI-42308-142,2020-04-11,06631-86965-XP,E-M-0.5,2,Olag Baudassi,obaudassi18@seesaa.net,United States,0.5,8.25,16.5,Excelsa,Medium,Yes,Rochester,14604,United States,obaudassi18@seesaa.net,Yes,0,+1 (585) 356-6251,0,Exc,0.5,8.25,0.9075,2020,2,4,April,Saturday,15,True,2020-04,1.815,11.0,Standard ($7-10),Medium,Spring,Medium
XHI-30227-581,2022-01-31,54619-08558-ZU,L-D-2.5,6,Petey Kingsbury,pkingsbury19@comcast.net,United States,2.5,29.784999999999997,178.70999999999998,Libriac,Dark,No,Bronx,10469,United States,pkingsbury19@comcast.net,No,0,+1 (917) 705-8224,0,Lib,2.5,29.784999999999997,3.8720499999999998,2022,1,1,January,Monday,5,False,2022-01,23.2323,13.0,Luxury (>$14),XL,Winter,Top
VMW-26889-781,2019-06-28,36078-91009-WU,A-L-0.2,2,Arda Curley,acurley1b@hao123.com,United States,0.2,3.885,7.77,Arabica,Large,Yes,San Bernardino,92415,United States,acurley1b@hao123.com,Yes,0,+1 (760) 840-3808,0,Ara,0.2,3.885,0.34964999999999996,2019,2,6,June,Friday,26,False,2019-06,0.6992999999999999,9.0,Budget (<$7),Small,Summer,Low
DBU-81099-586,2020-09-11,15770-27099-GX,A-D-2.5,4,Raynor McGilvary,rmcgilvary1c@tamu.edu,United States,2.5,22.884999999999998,91.53999999999999,Arabica,Dark,No,Norfolk,23514,United States,rmcgilvary1c@tamu.edu,No,0,UNKNOWN,1,Ara,2.5,22.884999999999998,2.0596499999999995,2020,3,9,September,Friday,37,False,2020-09,8.238599999999998,9.0,Luxury (>$14),XL,Autumn,Top
PQA-54820-810,2022-08-17,91460-04823-BX,A-L-1,3,Isis Pikett,ipikett1d@xinhuanet.com,United States,1.0,12.95,38.849999999999994,Arabica,Large,No,Washington,20409,United States,ipikett1d@xinhuanet.com,No,0,+1 (202) 871-9039,0,Ara,1.0,12.95,1.1655,2022,3,8,August,Wednesday,33,False,2022-08,3.4965,9.0,Premium ($10-14),Large,Summer,High
XKB-41924-202,2022-08-19,45089-52817-WN,L-D-0.5,2,Inger Bouldon,ibouldon1e@gizmodo.com,United States,0.5,7.77,15.54,Libriac,Dark,No,Fort Lauderdale,33355,United States,ibouldon1e@gizmodo.com,No,0,+1 (754) 391-4736,0,Lib,0.5,7.77,1.0101,2022,3,8,August,Friday,33,False,2022-08,2.0202,13.0,Standard ($7-10),Medium,Summer,Low
DWZ-69106-473,2019-05-15,76447-50326-IC,L-L-2.5,4,Karry Flanders,kflanders1f@over-blog.com,Ireland,2.5,36.455,145.82,Libriac,Large,Yes,Crumlin,D6W,Ireland,kflanders1f@over-blog.com,Yes,0,+353 (467) 720-7274,0,Lib,2.5,36.455,4.7391499999999995,2019,2,5,May,Wednesday,20,False,2019-05,18.956599999999998,13.0,Luxury (>$14),XL,Spring,Top
YHV-68700-050,2019-09-11,26333-67911-OL,R-M-0.5,5,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,0.5,5.97,29.849999999999998,Robusta,Medium,No,Kinloch,PH43,United Kingdom,hmattioli1g@webmd.com,No,0,UNKNOWN,1,Rob,0.5,5.97,0.35819999999999996,2019,3,9,September,Wednesday,37,False,2019-09,1.791,6.0,Budget (<$7),Medium,Autumn,High
YHV-68700-050,2019-09-11,26333-67911-OL,L-L-2.5,2,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,2.5,36.455,72.91,Libriac,Large,No,Kinloch,PH43,United Kingdom,hmattioli1g@webmd.com,No,0,UNKNOWN,1,Lib,2.5,36.455,4.7391499999999995,2019,3,9,September,Wednesday,37,False,2019-09,9.478299999999999,13.0,Luxury (>$14),XL,Autumn,Top
KRB-88066-642,2021-03-16,22107-86640-SB,L-M-1,5,Archambault Gillard,agillard1i@issuu.com,United States,1.0,14.55,72.75,Libriac,Medium,No,Toledo,43666,United States,agillard1i@issuu.com,No,0,+1 (419) 663-2236,0,Lib,1.0,14.55,1.8915000000000002,2021,1,3,March,Tuesday,11,False,2021-03,9.457500000000001,13.0,Luxury (>$14),Large,Spring,Top
CWK-60159-881,2020-01-27,04671-85591-RT,E-D-0.2,3,Theda Grizard,tgrizard1k@odnoklassniki.ru,United States,0.2,3.645,10.935,Excelsa,Dark,Yes,Tampa,33686,United States,tgrizard1k@odnoklassniki.ru,Yes,0,+1 (813) 243-2150,0,Exc,0.2,3.645,0.40095000000000003,2020,1,1,January,Monday,5,False,2020-01,1.2028500000000002,11.0,Budget (<$7),Small,Winter,Low
EEG-74197-843,2022-07-17,25729-68859-UA,E-L-1,4,Rozele Relton,rrelton1l@stanford.edu,United States,1.0,14.85,59.4,Excelsa,Large,No,Pensacola,32590,United States,rrelton1l@stanford.edu,No,0,+1 (850) 626-1181,0,Exc,1.0,14.85,1.6335,2022,3,7,July,Sunday,28,True,2022-07,6.534,11.0,Luxury (>$14),Large,Summer,High
HUB-47311-849,2021-12-07,04521-04300-OK,L-M-0.5,3,Stanislaus Gilroy,sgilroy1n@eepurl.com,United States,0.5,8.73,26.19,Libriac,Medium,Yes,Saint Paul,55123,United States,sgilroy1n@eepurl.com,Yes,0,UNKNOWN,1,Lib,0.5,8.73,1.1349,2021,4,12,December,Tuesday,49,False,2021-12,3.4047,13.0,Standard ($7-10),Medium,Winter,Medium
WYM-17686-694,2021-02-25,58689-55264-VK,A-D-2.5,5,Correy Cottingham,ccottingham1o@wikipedia.org,United States,2.5,22.884999999999998,114.42499999999998,Arabica,Dark,No,Fort Wayne,46862,United States,ccottingham1o@wikipedia.org,No,0,+1 (260) 764-1820,0,Ara,2.5,22.884999999999998,2.0596499999999995,2021,1,2,February,Thursday,8,False,2021-02,10.298249999999998,9.0,Luxury (>$14),XL,Winter,Top
RWR-77888-800,2020-02-07,69904-02729-YS,A-M-0.5,1,Annadiane Dykes,adykes1r@eventbrite.com,United States,0.5,6.75,6.75,Arabica,Medium,No,Chicago,60681,United States,adykes1r@eventbrite.com,No,0,+1 (312) 111-6203,0,Ara,0.5,6.75,0.6074999999999999,2020,1,2,February,Friday,6,False,2020-02,0.6074999999999999,9.0,Budget (<$7),Medium,Winter,Low
TIR-71396-998,2022-03-06,14204-14186-LA,R-D-2.5,4,Angelia Cockrem,acockrem1t@engadget.com,United States,2.5,20.584999999999997,82.33999999999999,Robusta,Dark,Yes,Vienna,22184,United States,acockrem1t@engadget.com,Yes,0,+1 (571) 316-8217,0,Rob,2.5,20.584999999999997,1.2350999999999999,2022,1,3,March,Sunday,9,True,2022-03,4.9403999999999995,6.0,Luxury (>$14),XL,Spring,Top
RXF-37618-213,2022-04-15,32948-34398-HC,R-L-0.5,1,Belvia Umpleby,bumpleby1u@soundcloud.com,United States,0.5,7.169999999999999,7.169999999999999,Robusta,Large,Yes,Fort Worth,76178,United States,bumpleby1u@soundcloud.com,Yes,0,+1 (682) 627-0888,0,Rob,0.5,7.169999999999999,0.4301999999999999,2022,2,4,April,Friday,15,False,2022-04,0.4301999999999999,6.0,Standard ($7-10),Medium,Spring,Low
ANM-16388-634,2021-11-19,77343-52608-FF,L-L-0.2,2,Nat Saleway,nsaleway1v@dedecms.com,United States,0.2,4.755,9.51,Libriac,Large,No,Burbank,91505,United States,nsaleway1v@dedecms.com,No,0,+1 (323) 473-0294,0,Lib,0.2,4.755,0.61815,2021,4,11,November,Friday,46,False,2021-11,1.2363,13.0,Budget (<$7),Small,Autumn,Low
WYL-29300-070,2019-10-16,42770-36274-QA,R-M-0.2,1,Hayward Goulter,hgoulter1w@abc.net.au,United States,0.2,2.985,2.985,Robusta,Medium,No,Kingsport,37665,United States,hgoulter1w@abc.net.au,No,0,+1 (423) 764-7751,0,Rob,0.2,2.985,0.17909999999999998,2019,4,10,October,Wednesday,42,False,2019-10,0.17909999999999998,6.0,Budget (<$7),Small,Autumn,Low
JHW-74554-805,2019-11-26,14103-58987-ZU,R-M-1,6,Gay Rizzello,grizzello1x@symantec.com,United Kingdom,1.0,9.95,59.699999999999996,Robusta,Medium,Yes,Liverpool,L33,United Kingdom,grizzello1x@symantec.com,Yes,0,+44 (247) 225-8003,0,Rob,1.0,9.95,0.597,2019,4,11,November,Tuesday,48,False,2019-11,3.582,6.0,Standard ($7-10),Large,Autumn,Top
KYS-27063-603,2019-06-30,69958-32065-SW,E-L-2.5,4,Shannon List,slist1y@mapquest.com,United States,2.5,34.154999999999994,136.61999999999998,Excelsa,Large,No,Columbus,43231,United States,slist1y@mapquest.com,No,0,+1 (614) 279-9816,0,Exc,2.5,34.154999999999994,3.7570499999999996,2019,2,6,June,Sunday,26,True,2019-06,15.028199999999998,11.0,Luxury (>$14),XL,Summer,Top
GAZ-58626-277,2021-01-04,69533-84907-FA,L-L-0.2,2,Shirlene Edmondson,sedmondson1z@theguardian.com,Ireland,0.2,4.755,9.51,Libriac,Large,No,Newmarket on Fergus,P17,Ireland,sedmondson1z@theguardian.com,No,0,+353 (248) 428-7978,0,Lib,0.2,4.755,0.61815,2021,1,1,January,Monday,1,False,2021-01,1.2363,13.0,Budget (<$7),Small,Winter,Low
RPW-36123-215,2021-07-19,80640-45811-LB,E-L-0.5,2,Jennifer Rangall,jrangall22@newsvine.com,United States,0.5,8.91,17.82,Excelsa,Large,Yes,Springfield,1114,United States,jrangall22@newsvine.com,Yes,0,+1 (781) 512-6637,0,Exc,0.5,8.91,0.9801,2021,3,7,July,Monday,29,False,2021-07,1.9602,11.0,Standard ($7-10),Medium,Summer,Medium
WLL-59044-117,2021-07-23,28476-04082-GR,R-D-1,6,Kipper Boorn,kboorn23@ezinearticles.com,Ireland,1.0,8.95,53.699999999999996,Robusta,Dark,Yes,Listowel,V31,Ireland,kboorn23@ezinearticles.com,Yes,0,+353 (359) 134-1550,0,Rob,1.0,8.95,0.5369999999999999,2021,3,7,July,Friday,29,False,2021-07,3.2219999999999995,6.0,Standard ($7-10),Large,Summer,High
QLM-07145-668,2019-05-09,86437-17399-FK,E-D-0.2,2,Colene Elgey,celgey25@webs.com,United States,0.2,3.645,7.29,Excelsa,Dark,No,Midland,79705,United States,celgey25@webs.com,No,0,+1 (432) 261-0702,0,Exc,0.2,3.645,0.40095000000000003,2019,2,5,May,Thursday,19,False,2019-05,0.8019000000000001,11.0,Budget (<$7),Small,Spring,Low
HVQ-64398-930,2020-03-30,62979-53167-ML,A-M-0.5,6,Lothaire Mizzi,lmizzi26@rakuten.co.jp,United States,0.5,6.75,40.5,Arabica,Medium,Yes,Dallas,75323,United States,lmizzi26@rakuten.co.jp,Yes,0,+1 (214) 719-8530,0,Ara,0.5,6.75,0.6074999999999999,2020,1,3,March,Monday,14,False,2020-03,3.6449999999999996,9.0,Budget (<$7),Medium,Spring,High
WRT-40778-247,2022-03-13,54810-81899-HL,R-L-1,4,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,United States,1.0,11.95,47.8,Robusta,Large,No,Dulles,20189,United States,cgiacomazzo27@jigsy.com,No,0,+1 (571) 703-2064,0,Rob,1.0,11.95,0.717,2022,1,3,March,Sunday,10,True,2022-03,2.868,6.0,Premium ($10-14),Large,Spring,High
SUB-13006-125,2019-04-17,26103-41504-IB,A-L-0.5,5,Ami Arnow,aarnow28@arizona.edu,United States,0.5,7.77,38.849999999999994,Arabica,Large,Yes,Oakland,94627,United States,aarnow28@arizona.edu,Yes,0,+1 (650) 238-1964,0,Ara,0.5,7.77,0.6992999999999999,2019,2,4,April,Wednesday,16,False,2019-04,3.4964999999999997,9.0,Standard ($7-10),Medium,Spring,High
CQM-49696-263,2019-10-25,76534-45229-SG,L-L-2.5,3,Sheppard Yann,syann29@senate.gov,United States,2.5,36.455,109.365,Libriac,Large,Yes,Colorado Springs,80930,United States,syann29@senate.gov,Yes,0,+1 (719) 803-5276,0,Lib,2.5,36.455,4.7391499999999995,2019,4,10,October,Friday,43,False,2019-10,14.21745,13.0,Luxury (>$14),XL,Autumn,Top
KXN-85094-246,2019-09-13,81744-27332-RR,L-M-2.5,3,Bunny Naulls,bnaulls2a@tiny.cc,Ireland,2.5,33.464999999999996,100.39499999999998,Libriac,Medium,Yes,Adare,H54,Ireland,bnaulls2a@tiny.cc,Yes,0,+353 (809) 128-0755,0,Lib,2.5,33.464999999999996,4.3504499999999995,2019,3,9,September,Friday,37,False,2019-09,13.05135,13.0,Luxury (>$14),XL,Autumn,Top
HYF-10254-369,2019-11-14,30373-66619-CB,L-L-0.5,1,Zaccaria Sherewood,zsherewood2c@apache.org,United States,0.5,9.51,9.51,Libriac,Large,No,Fresno,93715,United States,zsherewood2c@apache.org,No,0,+1 (209) 433-7924,0,Lib,0.5,9.51,1.2363,2019,4,11,November,Thursday,46,False,2019-11,1.2363,13.0,Standard ($7-10),Medium,Autumn,Low
XXJ-47000-307,2019-07-18,31582-23562-FM,A-L-2.5,3,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,2.5,29.784999999999997,89.35499999999999,Arabica,Large,No,Fort Worth,76121,United States,jdufaire2d@fc2.com,No,0,UNKNOWN,1,Ara,2.5,29.784999999999997,2.6806499999999995,2019,3,7,July,Thursday,29,False,2019-07,8.041949999999998,9.0,Luxury (>$14),XL,Summer,Top
