Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
Archambault Gillard,522,1,72.75,3,1,4,8,⭐ Loyal Customers
Arda Curley,1149,1,7.77,1,1,1,3,💀 Lost Customers
Ardith Chill,291,1,28.53,4,1,2,7,🔄 Potential Loyalists
Arel De Lasci,147,1,38.849999999999994,4,1,3,8,⭐ Loyal Customers
Arlana Ferrea,604,1,44.55,3,1,3,7,🔄 Potential Loyalists
Arleen Braidman,885,1,17.91,2,1,2,5,😴 At Risk
Ashbey Tomaszewski,1103,1,43.019999999999996,1,1,3,5,😴 At Risk
Astrix Kitchingham,95,1,4.455,4,1,1,6,🆕 New Customers
Audra Kelston,334,1,20.25,3,1,2,6,😐 Need Attention
Auguste Rizon,377,1,68.75,3,1,4,8,⭐ Loyal Customers
Augustin Waterhouse,74,1,46.62,4,1,3,8,⭐ Loyal Customers
Aurea Corradino,624,1,31.455,2,1,2,5,😴 At Risk
Aurelia Burgwin,978,1,109.93999999999998,1,1,4,6,😴 At Risk
Avrit Davidowsky,624,1,17.91,2,1,2,5,😴 At Risk
Babb Pollins,36,1,21.87,4,1,2,7,🔄 Potential Loyalists
Bar O' Mahony,526,1,7.77,3,1,1,5,😐 Need Attention
Barnett Sillis,676,1,55.0,2,1,3,6,😴 At Risk
Barrett Gudde,1057,1,19.02,1,1,2,4,💀 Lost Customers
Barrie Fallowes,440,1,12.375,3,1,1,5,😐 Need Attention
Bartholemy Flaherty,248,1,21.87,4,1,2,7,🔄 Potential Loyalists
Baudoin Alldridge,1214,1,44.75,1,1,3,5,😴 At Risk
Baxy Cargen,446,1,32.22,3,1,3,7,🔄 Potential Loyalists
Bayard Wellan,995,1,15.54,1,1,1,3,💀 Lost Customers
Bear Gaish,266,1,119.13999999999999,4,1,4,9,⭐ Loyal Customers
Bearnard Wardell,1302,1,53.46,1,1,3,5,😴 At Risk
Becky Semkins,839,1,14.924999999999999,2,1,1,4,😐 Need Attention
Bee Fattorini,1,1,29.784999999999997,4,1,2,7,🔄 Potential Loyalists
Beitris Keaveney,504,1,33.75,3,1,3,7,🔄 Potential Loyalists
Beltran Mathon,417,1,17.924999999999997,3,1,2,6,😐 Need Attention
Belvia Umpleby,127,1,7.169999999999999,4,1,1,6,🆕 New Customers
Benedetto Gozzett,498,1,9.51,3,1,1,5,😐 Need Attention
Benedikta Paumier,904,1,31.624999999999996,2,1,2,5,😴 At Risk
Benn Checci,997,1,21.825000000000003,1,1,2,4,💀 Lost Customers
Berkly Imrie,888,1,17.46,2,1,2,5,😴 At Risk
Bertine Byrd,1266,1,133.85999999999999,1,1,4,6,😴 At Risk
Berty Beelby,664,1,29.784999999999997,2,1,2,5,😴 At Risk
Beryle Kenwell,515,1,20.625,3,1,2,6,😐 Need Attention
Bette-ann Munden,409,1,13.365,3,1,1,5,😐 Need Attention
Bettina Leffek,283,1,68.655,4,1,4,9,⭐ Loyal Customers
Betty Fominov,1151,1,26.849999999999994,1,1,2,4,💀 Lost Customers
Birgit Domange,305,1,26.849999999999994,4,1,2,7,🔄 Potential Loyalists
Blake Kelloway,501,1,7.77,3,1,1,5,😐 Need Attention
Blancha McAmish,561,1,38.849999999999994,3,1,3,7,🔄 Potential Loyalists
Bo Kindley,261,1,145.82,4,1,4,9,⭐ Loyal Customers
Bob Giannazzi,1029,1,15.54,1,1,1,3,💀 Lost Customers
Bobby Folomkin,996,1,178.70999999999998,1,1,4,6,😴 At Risk
Bobinette Hindsberg,597,1,14.58,3,1,1,5,😐 Need Attention
Borg Daile,669,1,49.75,2,1,3,6,😴 At Risk
Boyce Tarte,768,1,41.169999999999995,2,1,3,6,😴 At Risk
Boyd Bett,823,1,15.54,2,1,1,4,😐 Need Attention
Bram Revel,43,1,11.94,4,1,1,6,🆕 New Customers
Bran Sterke,1145,1,27.5,1,1,2,4,💀 Lost Customers
Brendan Grece,1124,1,28.53,1,1,2,4,💀 Lost Customers
Brice Romera,679,1,246.20999999999998,2,1,4,7,🔄 Potential Loyalists
Broderick McGilvra,651,1,148.92499999999998,2,1,4,7,🔄 Potential Loyalists
Brook Drage,137,1,38.04,4,1,3,8,⭐ Loyal Customers
Bunny Naulls,1072,1,100.39499999999998,1,1,4,6,😴 At Risk
Burnard Bartholin,980,1,43.650000000000006,1,1,3,5,😴 At Risk
Byram Mergue,1038,1,13.5,1,1,1,3,💀 Lost Customers
Byron Acarson,111,1,63.24999999999999,4,1,3,8,⭐ Loyal Customers
Caddric Atcheson,785,1,4.755,2,1,1,4,😐 Need Attention
Caddric Krzysztofiak,891,1,10.739999999999998,2,1,1,4,😐 Need Attention
Cam Jewster,904,2,46.965,2,4,3,9,🔄 Potential Loyalists
Camellia Kid,990,1,10.754999999999999,1,1,1,3,💀 Lost Customers
Carlie Harce,920,1,89.35499999999999,2,1,4,7,🔄 Potential Loyalists
Carlie Linskill,346,1,56.25,3,1,3,7,🔄 Potential Loyalists
Carmelita Thowes,1122,1,47.55,1,1,3,5,😴 At Risk
Carney Clemencet,603,1,44.55,3,1,3,7,🔄 Potential Loyalists
Carolann Beine,750,1,13.5,2,1,1,4,😐 Need Attention
Carolee Winchcombe,1306,1,95.1,1,1,4,6,😴 At Risk
Casi Gwinnett,329,1,7.77,3,1,1,5,😐 Need Attention
Cassie Pinkerton,518,1,29.849999999999998,3,1,2,6,😐 Need Attention
Cecil Weatherall,1187,1,13.095,1,1,1,3,💀 Lost Customers
Cecily Stebbings,1286,1,5.369999999999999,1,1,1,3,💀 Lost Customers
Celestia Dolohunty,324,1,114.42499999999998,3,1,4,8,⭐ Loyal Customers
Celia Bakeup,1258,1,47.55,1,1,3,5,😴 At Risk
Celie MacCourt,342,1,89.35499999999999,3,1,4,8,⭐ Loyal Customers
Chad Miguel,202,1,79.25,4,1,4,9,⭐ Loyal Customers
Chance Rowthorn,265,1,8.25,4,1,1,6,🆕 New Customers
Chantal Mersh,442,1,39.8,3,1,3,7,🔄 Potential Loyalists
Charin Penwarden,587,1,43.650000000000006,3,1,3,7,🔄 Potential Loyalists
Charis Crosier,16,1,25.68,4,1,2,7,🔄 Potential Loyalists
Charlean Keave,300,2,110.61000000000001,4,4,4,12,🏆 Champions
Charmane Denys,778,1,95.1,2,1,4,7,🔄 Potential Loyalists
Chiarra Shalders,1144,1,12.95,1,1,1,3,💀 Lost Customers
Chickie Ragless,1231,1,35.64,1,1,3,5,😴 At Risk
Chloette Bernardot,396,1,21.87,3,1,2,6,😐 Need Attention
Chloris Sorrell,220,1,28.62,4,1,2,7,🔄 Potential Loyalists
Chris Croster,481,1,43.650000000000006,3,1,3,7,🔄 Potential Loyalists
Chrisy Blofeld,339,1,11.25,3,1,1,5,😐 Need Attention
Chuck Kendrick,1079,1,89.1,1,1,4,6,😴 At Risk
Cissiee Raisbeck,270,1,8.73,4,1,1,6,🆕 New Customers
Claiborne Feye,611,1,29.16,3,1,2,6,😐 Need Attention
Claiborne Mottram,267,1,19.02,4,1,2,7,🔄 Potential Loyalists
Claudell Ayre,838,1,33.464999999999996,2,1,3,6,😴 At Risk
Claudetta Rushe,842,2,193.63499999999996,2,4,4,10,🏆 Champions
Claudie Weond,1272,1,22.5,1,1,2,4,💀 Lost Customers
Clayton Kingwell,255,1,8.955,4,1,1,6,🆕 New Customers
Clement Vasiliev,908,1,28.53,2,1,2,5,😴 At Risk
Cleopatra Goodrum,928,1,22.275,2,1,2,5,😴 At Risk
Cletis Giacomazzo,160,1,47.8,4,1,3,8,⭐ Loyal Customers
Cleve Blowfelde,354,1,21.509999999999998,3,1,2,6,😐 Need Attention
Cobby Cromwell,280,1,139.725,4,1,4,9,⭐ Loyal Customers
Cody Verissimo,288,4,183.66,4,4,4,12,🏆 Champions
Colene Elgey,1199,1,7.29,1,1,1,3,💀 Lost Customers
Conchita Bryde,620,1,31.624999999999996,3,1,3,7,🔄 Potential Loyalists
Connor Heaviside,433,1,68.75,3,1,4,8,⭐ Loyal Customers
Conny Gheraldi,783,1,23.775,2,1,2,5,😴 At Risk
Constance Halfhide,134,1,29.16,4,1,2,7,🔄 Potential Loyalists
Constanta Hatfull,1003,1,7.169999999999999,1,1,1,3,💀 Lost Customers
Cordi Switsur,322,1,76.76,3,1,4,8,⭐ Loyal Customers
Cordy Odgaard,787,1,77.69999999999999,2,1,4,7,🔄 Potential Loyalists
Corine Drewett,804,1,22.884999999999998,2,1,2,5,😴 At Risk
Corinna Catcheside,1292,1,24.3,1,1,2,4,💀 Lost Customers
Cornie Venour,1012,1,67.5,1,1,4,6,😴 At Risk
Correy Bourner,1012,1,16.875,1,1,1,3,💀 Lost Customers
Correy Cottingham,541,1,114.42499999999998,3,1,4,8,⭐ Loyal Customers
Corrie Wass,1239,1,67.5,1,1,4,6,😴 At Risk
Cortney Gibbonson,88,1,46.62,4,1,3,8,⭐ Loyal Customers
Cos Fluin,64,1,33.75,4,1,3,8,⭐ Loyal Customers
Courtney Pallant,782,1,102.46499999999997,2,1,4,7,🔄 Potential Loyalists
Cristina Aleixo,750,1,23.31,2,1,2,5,😴 At Risk
Dael Camilletti,872,1,14.58,2,1,1,4,😐 Need Attention
Dagny Kornel,622,1,8.955,3,1,1,5,😐 Need Attention
Dalia Eburah,881,1,137.31,2,1,4,7,🔄 Potential Loyalists
Dallas Yarham,667,1,29.784999999999997,2,1,2,5,😴 At Risk
Daniel Heinonen,1122,1,204.92999999999995,1,1,4,6,😴 At Risk
Darice Heaford,445,1,38.849999999999994,3,1,3,7,🔄 Potential Loyalists
Darn Penquet,838,1,126.49999999999999,2,1,4,7,🔄 Potential Loyalists
Darrin Tingly,381,1,111.78,3,1,4,8,⭐ Loyal Customers
Daryn Dibley,26,1,8.73,4,1,1,6,🆕 New Customers
Davida Caro,493,1,182.27499999999998,3,1,4,8,⭐ Loyal Customers
De Drewitt,406,1,8.25,3,1,1,5,😐 Need Attention
Deana Staite,710,1,17.46,2,1,2,5,😴 At Risk
Delainey Kiddy,852,1,5.369999999999999,2,1,1,4,😐 Need Attention
Dell Daveridge,50,1,14.339999999999998,4,1,1,6,🆕 New Customers
Dell Gut,964,1,74.25,2,1,4,7,🔄 Potential Loyalists
Denny O' Ronan,687,1,68.655,2,1,4,7,🔄 Potential Loyalists
Denyse O'Calleran,117,1,27.945,4,1,2,7,🔄 Potential Loyalists
Deonne Shortall,463,1,8.055,3,1,1,5,😐 Need Attention
Devan Crownshaw,1161,1,89.35499999999999,1,1,4,6,😴 At Risk
Devland Gritton,300,1,114.85,4,2,4,10,🏆 Champions
Devon Magowan,912,1,59.4,2,2,3,7,🔄 Potential Loyalists
Diane-marie Wincer,609,1,25.9,3,2,2,7,🔄 Potential Loyalists
Dianne Chardin,783,1,63.24999999999999,2,2,4,8,🔄 Potential Loyalists
Dick Drinkall,979,1,20.584999999999997,1,2,2,5,😴 At Risk
Dionne Skyner,447,1,33.75,3,2,3,8,⭐ Loyal Customers
Doll Beauchamp,69,1,145.82,4,2,4,10,🏆 Champions
Dollie Gadsden,100,1,45.769999999999996,4,2,3,9,⭐ Loyal Customers
Dolores Duffie,1319,1,111.78,1,2,4,7,🔄 Potential Loyalists
Domeniga Duke,296,1,49.75,4,2,3,9,⭐ Loyal Customers
Don Flintiff,383,3,278.01,3,4,4,11,🏆 Champions
Donalt Sangwin,865,1,27.0,2,2,2,6,😴 At Risk
Donavon Fowle,1133,1,8.955,1,2,1,4,💀 Lost Customers
Donica Bonhome,420,1,18.225,3,2,2,7,🔄 Potential Loyalists
Donnie Hedlestone,808,1,25.874999999999996,2,2,2,6,😴 At Risk
Donny Fries,130,1,59.699999999999996,4,2,3,9,⭐ Loyal Customers
Dorelia Bury,801,1,109.93999999999998,2,2,4,8,🔄 Potential Loyalists
Dorey Sopper,330,1,148.92499999999998,3,2,4,9,⭐ Loyal Customers
Dorian Vizor,1196,1,35.82,1,2,3,6,😴 At Risk
Dorie de la Tremoille,847,1,114.42499999999998,2,2,4,8,🔄 Potential Loyalists
Dorotea Hollyman,816,1,17.91,2,2,2,6,😴 At Risk
Dottie Rallin,261,1,9.95,4,2,1,7,🔄 Potential Loyalists
Dottie Tift,278,1,21.87,4,2,2,8,⭐ Loyal Customers
Drake Jevon,570,1,3.5849999999999995,3,2,1,6,😐 Need Attention
Duky Phizackerly,661,1,170.77499999999998,2,2,4,8,🔄 Potential Loyalists
Dyanna Aizikovitz,305,1,38.849999999999994,4,2,3,9,⭐ Loyal Customers
Eal D'Ambrogio,215,1,35.64,4,2,3,9,⭐ Loyal Customers
Eddi Sedgebeer,535,1,16.11,3,2,1,6,😐 Need Attention
Effie Yurkov,91,1,133.85999999999999,4,2,4,10,🏆 Champions
Elden Andriessen,781,1,51.74999999999999,2,2,3,7,🔄 Potential Loyalists
Elizabet Aizikowitz,201,1,35.64,4,2,3,9,⭐ Loyal Customers
Elka Windress,953,1,21.87,2,2,2,6,😴 At Risk
Elna Grise,509,1,35.849999999999994,3,2,3,8,⭐ Loyal Customers
Elsbeth Westerman,456,1,14.339999999999998,3,2,1,6,😐 Need Attention
Else Langcaster,1255,1,35.64,1,2,3,6,😴 At Risk
Emalee Rolin,1190,1,22.275,1,2,2,5,😴 At Risk
Emiline Galgey,147,1,20.584999999999997,4,2,2,8,⭐ Loyal Customers
Emiline Priddis,1099,1,87.30000000000001,1,2,4,7,🔄 Potential Loyalists
Emlynne Heining,673,1,109.93999999999998,2,2,4,8,🔄 Potential Loyalists
Emlynne Laird,395,1,36.45,3,2,3,8,⭐ Loyal Customers
Emlynne Palfrey,1085,1,7.77,1,2,1,4,💀 Lost Customers
Emmaline Rasmus,537,1,7.29,3,2,1,6,😐 Need Attention
Ericka Tripp,649,1,26.849999999999994,2,2,2,6,😴 At Risk
Ermin Beeble,566,1,33.75,3,2,3,8,⭐ Loyal Customers
Ethel Ryles,727,1,22.5,2,2,2,6,😴 At Risk
Ethelda Hobbing,497,1,63.24999999999999,3,2,4,9,⭐ Loyal Customers
Eustace Stenton,1283,1,55.0,1,2,3,6,😴 At Risk
Eveleen Bletsor,929,1,26.19,2,2,2,6,😴 At Risk
Evelina Dacca,1141,1,12.15,1,2,1,4,💀 Lost Customers
Evy Wilsone,781,1,33.75,2,2,3,7,🔄 Potential Loyalists
Faber Eilhart,445,1,35.82,3,2,3,8,⭐ Loyal Customers
Fanchette Parlot,962,1,6.75,2,2,1,5,😴 At Risk
Fanchon Haughian,739,1,35.849999999999994,2,2,3,7,🔄 Potential Loyalists
Fanny Flanagan,831,1,26.19,2,2,2,6,😴 At Risk
Faunie Brigham,113,1,163.71999999999997,4,2,4,10,🏆 Champions
Felice Miell,134,1,51.74999999999999,4,2,3,9,⭐ Loyal Customers
Felicia Jecock,661,1,31.7,2,2,3,7,🔄 Potential Loyalists
Feliks Babber,107,1,74.25,4,2,4,10,🏆 Champions
Felita Dauney,150,1,17.9,4,2,2,8,⭐ Loyal Customers
Felita Eshmade,719,1,14.58,2,2,1,5,😴 At Risk
Ferdie Tourry,242,1,66.92999999999999,4,2,4,10,🏆 Champions
Fernando Sulman,78,1,35.8,4,2,3,9,⭐ Loyal Customers
Ferrell Ferber,530,1,39.8,3,2,3,8,⭐ Loyal Customers
Fielding Keinrat,1029,1,77.62499999999999,1,2,4,7,🔄 Potential Loyalists
Filip Antcliffe,333,1,7.29,3,2,1,6,😐 Need Attention
Fleur Parres,1073,1,31.08,1,2,2,5,😴 At Risk
Flory Crumpe,1273,1,7.77,1,2,1,4,💀 Lost Customers
Foster Constance,231,3,141.785,4,4,4,12,🏆 Champions
Franny Kienlein,750,1,52.38,2,2,3,7,🔄 Potential Loyalists
Frans Habbergham,307,1,11.94,4,2,1,7,🔄 Potential Loyalists
Fransisco Malecky,688,1,6.75,2,2,1,5,😴 At Risk
Freda Hollows,563,1,103.49999999999999,3,2,4,9,⭐ Loyal Customers
Friederike Drysdale,621,1,45.769999999999996,3,2,3,8,⭐ Loyal Customers
Gabie Tweed,1117,1,27.674999999999997,1,2,2,5,😴 At Risk
Gabriel Starcks,1281,1,59.56999999999999,1,2,3,6,😴 At Risk
Gaile Goggin,623,1,20.25,3,2,2,7,🔄 Potential Loyalists
Gale Croysdale,1291,1,26.849999999999998,1,2,2,5,😴 At Risk
Gale Heindrick,298,1,59.75,4,2,3,9,⭐ Loyal Customers
Gallard Gatheral,399,1,23.775,3,2,2,7,🔄 Potential Loyalists
Gardy Dimitriou,519,1,26.73,3,2,2,7,🔄 Potential Loyalists
Gaspar McGavin,973,1,47.8,2,2,3,7,🔄 Potential Loyalists
Gay Eilhersen,323,1,63.24999999999999,3,2,4,9,⭐ Loyal Customers
Gay Rizzello,998,1,59.699999999999996,1,2,3,6,😴 At Risk
Geneva Standley,739,1,19.02,2,2,2,6,😴 At Risk
Geoffrey Siuda,461,1,14.339999999999998,3,2,1,6,😐 Need Attention
Georgena Bentjens,251,1,38.849999999999994,4,2,3,9,⭐ Loyal Customers
Gerardo Schonfeld,1174,1,16.11,1,2,1,4,💀 Lost Customers
Giacobo Skingle,242,1,18.225,4,2,2,8,⭐ Loyal Customers
Gilberto Cornier,289,1,89.1,4,2,4,10,🏆 Champions
Gladi Ducker,1326,1,94.505,1,2,4,7,🔄 Potential Loyalists
Glory Clemon,228,1,100.39499999999998,4,2,4,10,🏆 Champions
Gnni Cheeke,348,1,83.83500000000001,3,2,4,9,⭐ Loyal Customers
Godfry Poinsett,619,1,35.64,3,2,3,8,⭐ Loyal Customers
Goldie Wynes,1047,1,27.945,1,2,2,5,😴 At Risk
Gothart Bamfield,668,1,38.04,2,2,3,7,🔄 Potential Loyalists
Graeme Whitehead,282,1,31.7,4,2,3,9,⭐ Loyal Customers
Gran Sibray,1116,1,17.91,1,2,2,5,😴 At Risk
Granger Fantham,643,1,79.25,2,2,4,8,🔄 Potential Loyalists
Granger Smallcombe,779,1,31.624999999999996,2,2,3,7,🔄 Potential Loyalists
Granville Alberts,1032,1,17.82,1,2,2,5,😴 At Risk
Grazia Oats,1068,1,9.95,1,2,1,4,💀 Lost Customers
Gregg Hawkyens,1110,1,8.955,1,2,1,4,💀 Lost Customers
Gregorius Kislingbury,328,1,46.62,3,2,3,8,⭐ Loyal Customers
Gregorius Trengrove,806,1,148.92499999999998,2,2,4,8,🔄 Potential Loyalists
Grete Holborn,1153,1,155.24999999999997,1,2,4,7,🔄 Potential Loyalists
Guenevere Ruggen,843,1,8.055,2,2,1,5,😴 At Risk
Gussy Broadbear,610,1,89.1,3,2,4,9,⭐ Loyal Customers
Gustaf Ciccotti,957,1,59.75,2,2,3,7,🔄 Potential Loyalists
Guthrey Petracci,1326,1,17.91,1,2,2,5,😴 At Risk
Gwenni Ratt,344,1,109.93999999999998,3,2,4,9,⭐ Loyal Customers
Hadley Reuven,82,1,123.50999999999999,4,2,4,10,🏆 Champions
Hailee Radbone,776,1,35.849999999999994,2,2,3,7,🔄 Potential Loyalists
Hall Ranner,1153,1,158.12499999999997,1,2,4,7,🔄 Potential Loyalists
Hamlen Pallister,355,1,10.935,3,2,1,6,😐 Need Attention
Hartley Mattioli,1074,1,102.75999999999999,1,2,4,7,🔄 Potential Loyalists
Haslett Jodrelle,431,1,22.884999999999998,3,2,2,7,🔄 Potential Loyalists
Hayward Goulter,1039,1,2.985,1,2,1,4,💀 Lost Customers
Hazel Saill,675,1,82.5,2,2,4,8,🔄 Potential Loyalists
Heall Perris,583,1,46.62,3,2,3,8,⭐ Loyal Customers
Heda Fromant,924,1,15.54,2,2,1,5,😴 At Risk
Helaina Rainforth,379,1,33.47,3,2,3,8,⭐ Loyal Customers
Helli Petroulis,1129,1,123.50999999999999,1,2,4,7,🔄 Potential Loyalists
Heloise Zeal,190,1,25.9,4,2,2,8,⭐ Loyal Customers
Henderson Crowne,119,1,15.54,4,2,1,7,🔄 Potential Loyalists
Hermann Larvor,250,1,178.70999999999998,4,2,4,10,🏆 Champions
Hewet Synnot,767,1,11.25,2,2,1,5,😴 At Risk
Hildegarde Brangan,637,1,111.78,2,2,4,8,🔄 Potential Loyalists
Hillel Mairs,903,1,2.985,2,2,1,5,😴 At Risk
Hussein Olliff,1052,1,33.75,1,2,3,6,😴 At Risk
Ibby Charters,253,1,20.625,4,2,2,8,⭐ Loyal Customers
Ilaire Sprakes,413,1,54.96999999999999,3,2,3,8,⭐ Loyal Customers
Ilka Gurnee,964,1,23.31,2,2,2,6,😴 At Risk
Ilysa Whapple,534,1,13.5,3,2,1,6,😐 Need Attention
Ingamar Eberlein,701,1,21.509999999999998,2,2,2,6,😴 At Risk
Ingeberg Mulliner,1100,1,15.85,1,2,1,4,💀 Lost Customers
Ingelbert Hotchkin,1254,1,167.67000000000002,1,2,4,7,🔄 Potential Loyalists
Inger Bouldon,1,1,15.54,4,2,1,7,🔄 Potential Loyalists
Innis Renhard,324,1,72.9,3,2,4,9,⭐ Loyal Customers
Iorgo Kleinert,190,1,11.94,4,2,1,7,🔄 Potential Loyalists
Ira Sjostrom,244,1,80.67,4,2,4,10,🏆 Champions
Irv Hay,438,1,5.97,3,2,1,6,😐 Need Attention
Irvine Phillpot,1276,1,41.25,1,2,3,6,😴 At Risk
Isa Blazewicz,396,1,31.08,3,2,2,7,🔄 Potential Loyalists
Isac Jesper,519,1,59.699999999999996,3,2,3,8,⭐ Loyal Customers
Isidore Hussey,264,1,17.91,4,2,2,8,⭐ Loyal Customers
Isis Hessel,838,1,83.83500000000001,2,2,4,8,🔄 Potential Loyalists
Isis Pikett,3,1,38.849999999999994,4,2,3,9,⭐ Loyal Customers
Itch Norquoy,660,1,13.5,2,2,1,5,😴 At Risk
Jacinthe Balsillie,742,1,12.95,2,2,1,5,😴 At Risk
Jackquelin Chugg,762,1,82.33999999999999,2,2,4,8,🔄 Potential Loyalists
Jacquelyn Maha,481,1,8.91,3,2,1,6,😐 Need Attention
Jami Redholes,429,1,12.95,3,2,1,6,😐 Need Attention
Janella Eden,1252,1,59.56999999999999,1,2,3,6,😴 At Risk
Janella Millett,157,2,162.17499999999998,4,4,4,12,🏆 Champions
Janeva Edinboro,219,1,28.679999999999996,4,2,2,8,⭐ Loyal Customers
Janifer Bagot,903,1,14.924999999999999,2,2,1,5,😴 At Risk
Jany Rudeforth,416,1,23.31,3,2,2,7,🔄 Potential Loyalists
Jaquenette Skentelbery,1113,1,25.9,1,2,2,5,😴 At Risk
Jarred Camillo,628,1,8.91,2,2,1,5,😴 At Risk
Jarret Toye,1285,1,25.9,1,2,2,5,😴 At Risk
Jasper Sisneros,822,1,11.94,2,2,1,5,😴 At Risk
Javier Kopke,1100,1,41.25,1,2,3,6,😴 At Risk
Jed Kennicott,42,1,31.08,4,2,2,8,⭐ Loyal Customers
Jeffrey Dufaire,1129,1,101.29499999999999,1,2,4,7,🔄 Potential Loyalists
Jemimah Ethelston,165,1,30.06,4,2,2,8,⭐ Loyal Customers
Jennica Tewelson,957,1,27.484999999999996,2,2,2,6,😴 At Risk
Jennifer Rangall,397,1,17.82,3,2,2,7,🔄 Potential Loyalists
Jennifer Wilkisson,1206,1,8.055,1,2,1,4,💀 Lost Customers
Jeno Capey,462,1,3.885,3,2,1,6,😐 Need Attention
Jeno Druitt,156,1,72.91,4,2,4,10,🏆 Champions
Jereme Gippes,1248,1,52.38,1,2,3,6,😴 At Risk
Jermaine Branchett,806,1,91.53999999999999,2,2,4,8,🔄 Potential Loyalists
Jewelle Shenton,843,1,63.24999999999999,2,2,4,8,🔄 Potential Loyalists
Jilly Dreng,354,1,22.5,3,2,2,7,🔄 Potential Loyalists
Jimmy Dymoke,67,5,120.38499999999999,4,4,4,12,🏆 Champions
Joceline Reddoch,904,1,137.42499999999998,2,2,4,8,🔄 Potential Loyalists
Jocko Pray,320,1,114.42499999999998,3,2,4,9,⭐ Loyal Customers
Jodee Caldicott,917,1,155.24999999999997,2,2,4,8,🔄 Potential Loyalists
Joey Jefferys,1069,1,29.849999999999998,1,2,2,5,😴 At Risk
Johna Bluck,1100,1,31.08,1,2,2,5,😴 At Risk
Jordana Halden,236,1,14.58,4,2,1,7,🔄 Potential Loyalists
Joshuah Awdry,1201,1,23.88,1,2,2,5,😴 At Risk
Judd De Leek,696,1,5.97,2,2,1,5,😴 At Risk
